loan_default,loan_purpose,missed_payment_2_yr,loan_amount,interest_rate,installment,annual_income,debt_to_income
no,debt_consolidation,no,25000,5.47,855.42,62823,39.39
yes,medical,no,10000,10.25,363.79,40000,24.06
no,small_business,no,13000,6.22,441.73,65000,13.96
no,small_business,no,36000,5.97,1152.01,125000,8.09
yes,small_business,yes,12000,11.75,307.67,65000,20.13
yes,medical,no,13000,13.25,333.31,87000,18.41
no,debt_consolidation,no,10000,10.469999999999999,342.12,120000,12.79
no,debt_consolidation,no,40000,7.97,972.94,90000,20.59
no,debt_consolidation,yes,16000,4.72,519.44,113409,19.92
no,small_business,no,12000,7.47,375.88,76000,25.09
no,home_improvement,no,5000,9.969999999999999,156.62,50000,7.24
yes,medical,no,19000,11,523.15,24000,21.15
no,credit_card,yes,10000,16.5,335.12,100000,4.04
no,debt_consolidation,no,22000,16,719.22,92000,13.03
no,debt_consolidation,no,4000,13,129.86,48000,14.58
no,medical,no,12000,7.97,398.46,35000,10.29
no,small_business,no,12000,15.5,239.61,106000,21.06
no,home_improvement,no,5000,11.719999999999999,156.62,58380,10.11
yes,medical,no,24000,18.75,729.56,46128,34
no,small_business,no,15000,5.97,451.73,52000,17.4
no,small_business,yes,16000,8.719999999999999,481.77,54625,24.67
no,debt_consolidation,yes,10000,6.72,346.9,30000,10.88
no,home_improvement,yes,35000,11.969999999999999,1120.18,185000,28.52
yes,medical,no,10000,11.5,259.58,66920,12.32
no,medical,no,10000,7.22,351.67,78000,12.29
no,debt_consolidation,yes,19200,9.719999999999999,643.33,32000,33.27
yes,small_business,yes,24000,11.5,702.33,80000,6.39
no,debt_consolidation,no,10000,6.97,339.79,12000,5.2
no,credit_card,no,12000,8.469999999999999,365.45,92000,16.51
no,medical,no,11700,8.219999999999999,260.21,55000,18.92
no,small_business,no,12000,10.969999999999999,384.06,50000,20.48
no,credit_card,no,2000,9.469999999999999,64.93,36000,12.8
no,medical,no,5000,7.22,161.15,110000,5.48
no,home_improvement,no,18000,5.47,553.41,78000,15.54
yes,credit_card,no,5000,15.25,189.54,30000,28.68
no,credit_card,no,24000,5.97,730.89,60000,27.28
yes,credit_card,no,27000,13.75,774.86,125000,4.63
yes,medical,no,25000,14.5,640.98,58500,18.17
no,home_improvement,yes,12500,16,384.37,90000,7.49
no,debt_consolidation,no,7200,9.219999999999999,235.42,71000,25.56
no,debt_consolidation,no,4500,6.72,144.01,13728,14.16
no,small_business,no,4000,8.219999999999999,122.98,30000,13.12
yes,credit_card,no,13200,16.75,493.19,53000,35.53
no,debt_consolidation,no,11000,7.72,368.63,69000,27.43
no,home_improvement,no,16000,5.72,481.84,114416,3.3
yes,debt_consolidation,no,8000,11.5,293.37,25252,35.5
no,debt_consolidation,no,24500,6.72,821.03,95000,25.16
no,debt_consolidation,no,33600,11.469999999999999,774.69,90000,19.53
no,small_business,no,25000,8.719999999999999,563.98,66000,6.53
yes,credit_card,no,28000,12.25,999.54,70000,35.3
no,debt_consolidation,no,2050,6.97,64.21,50000,10.83
yes,credit_card,no,15700,12.75,504.97,99000,9.91
no,debt_consolidation,no,6400,5.72,198.64,26000,14.08
yes,medical,no,25000,16,818.85,150000,39.1
yes,home_improvement,no,30000,12.5,1070.93,258000,10.8
no,debt_consolidation,no,10000,10.219999999999999,324.61,70000,28.84
yes,small_business,no,30000,16.25,1070.93,72000,27.03
yes,medical,no,20000,15.5,546.15,110000,10.39
no,medical,no,15000,10.469999999999999,513.25,153000,5.88
yes,medical,no,8400,19.25,312.18,30000,30.84
no,medical,no,29975,10.469999999999999,1039.83,109000,16.89
yes,debt_consolidation,no,15000,10.75,400.68,32000,35.75
no,debt_consolidation,no,7500,9.719999999999999,228.41,65000,8.86
no,small_business,no,3000,17,104.07,45000,37.57
no,debt_consolidation,no,20000,7.22,424.26,95000,22.7
yes,small_business,yes,30000,9,1114.91,101400,12.16
no,debt_consolidation,no,19500,9.469999999999999,676.36,92000,29.21
no,home_improvement,no,7300,6.47,222.35,88000,38.22
yes,credit_card,no,30000,18.5,794.82,60000,24.14
yes,small_business,no,10000,8.25,373.63,86000,14.34
no,medical,no,25000,9.969999999999999,761.46,144000,23.82
no,debt_consolidation,no,10000,8.719999999999999,212.08,90000,23.13
no,medical,no,2500,8.469999999999999,81.17,39000,8.74
yes,credit_card,no,10000,19.5,368.69,54000,22.67
yes,small_business,no,3025,16.75,109.46,96000,13.33
yes,debt_consolidation,yes,1000,19.25,38.67,24000,39.55
no,debt_consolidation,no,6300,11.719999999999999,195.54,59000,25.94
no,credit_card,no,25000,10.719999999999999,805.75,58000,20.28
no,credit_card,no,10000,9.719999999999999,310.33,48000,15.15
no,small_business,no,25000,6.22,555.99,165000,23.2
yes,small_business,no,20000,7.25,498.02,125000,19.62
no,home_improvement,no,28000,8.219999999999999,843.09,80000,26.43
no,debt_consolidation,no,40000,6.97,902.16,152000,10.34
no,debt_consolidation,no,30000,5.72,903.45,340000,7.72
no,debt_consolidation,yes,6000,7.47,201.04,75500,19.3
no,credit_card,no,28000,9.719999999999999,869.05,163000,6.46
no,debt_consolidation,no,9500,6.72,286.1,59000,5.26
no,small_business,no,20000,10.969999999999999,620.75,120000,23.82
yes,home_improvement,no,5000,8.25,180.92,48000,15.23
no,debt_consolidation,no,2000,11.969999999999999,67.95,80000,34.28
no,small_business,no,15000,7.97,483.52,60000,37.12
no,home_improvement,no,40000,11.219999999999999,922.05,265000,5.3
no,debt_consolidation,no,18000,11.219999999999999,588.54,3120,215.38
no,small_business,no,15000,7.72,345.77,45000,11.97
no,debt_consolidation,no,16000,8.219999999999999,496.6,89000,23.72
yes,medical,yes,33900,9.5,887.24,79040,29.97
yes,small_business,no,32000,16.5,820.45,75000,31.04
yes,small_business,no,20850,17.5,552.4,31000,23.96
no,debt_consolidation,no,5000,19,175.81,65000,24
no,medical,no,12000,9.719999999999999,410.6,108000,2.99
no,medical,no,10000,7.47,339.74,35000,31.34
yes,credit_card,no,36000,17.25,1345.06,46000,37.44
no,credit_card,no,12000,10.219999999999999,392.36,780000,3.1
no,home_improvement,no,40000,11.719999999999999,1241.5,500000,8.68
no,small_business,no,25000,8.969999999999999,811.51,150000,17.83
yes,medical,yes,10000,8.25,379.07,96500,2.38
no,credit_card,no,4200,10.969999999999999,137.33,31500,13.78
no,debt_consolidation,no,20000,9.469999999999999,670.23,120000,18.7
no,debt_consolidation,no,24000,6.97,804.27,35000,1.85
no,home_improvement,no,9500,11.469999999999999,286.1,57500,18.95
no,small_business,no,2400,14.5,79.71,47418,14.03
yes,small_business,no,16000,6.75,401.7,70000,33.39
no,credit_card,no,5000,19,155.17,40000,27.69
no,debt_consolidation,yes,24000,7.97,553.35,110000,20.25
no,debt_consolidation,no,5600,15.5,170.55,30000,17.5
no,small_business,no,30000,7.72,930.99,79000,13.53
yes,debt_consolidation,no,16000,8.25,505.15,64000,25.67
yes,medical,no,16000,14.5,450.23,42000,19.54
yes,credit_card,no,30000,16.75,753.18,73000,22.78
no,credit_card,yes,10000,10.219999999999999,313.23,36224,7.86
no,credit_card,no,7200,9.469999999999999,239.11,42000,14.89
no,credit_card,no,31100,10.969999999999999,659.56,75000,27.63
yes,credit_card,no,12000,19.25,351.17,70000,26.13
yes,small_business,no,30000,18.75,747.03,15000,70.48
no,small_business,no,9000,5.72,271,110000,15.27
yes,debt_consolidation,yes,12000,9,454.88,52499.2,26.29
no,debt_consolidation,no,16800,18.5,526.22,88000,18.32
no,debt_consolidation,no,9000,6.97,279.3,80000,11.3
no,debt_consolidation,no,36000,8.219999999999999,1152.18,127000,21.48
no,debt_consolidation,no,40000,10.969999999999999,1218.15,166600,21.26
yes,small_business,no,15000,8.75,579.87,65000,7.96
no,medical,no,15000,7.22,325.39,54000,25.14
yes,credit_card,no,3000,19.25,109.14,36240,22.75
no,small_business,no,34450,11.969999999999999,1170.58,130000,36.58
yes,medical,no,10000,15.5,286.99,175000,25.43
no,home_improvement,no,30000,6.22,930.99,65000,47.67
yes,credit_card,no,2500,16.75,92.18,56000,32.32
no,debt_consolidation,no,26000,7.22,883.45,59000,25.43
no,debt_consolidation,yes,12000,7.47,407.69,79500,11.03
no,home_improvement,no,6000,20,208.14,27500,13.66
no,debt_consolidation,no,9000,5.22,288.01,94000,17.27
yes,medical,no,28000,13.75,702.97,210000,13.67
no,medical,no,35000,9.969999999999999,1189.26,140000,14.23
yes,debt_consolidation,no,30000,16.25,1114.91,62000,19.71
no,debt_consolidation,yes,2500,10.219999999999999,83.78,42000,17.14
yes,credit_card,yes,32000,6.75,796.84,85000,13.14
no,debt_consolidation,no,20000,7.22,640.01,75000,30.62
no,debt_consolidation,yes,5000,8.219999999999999,169.9,75000,13.78
no,home_improvement,no,3000,19.5,99.63,36000,7.4
no,debt_consolidation,no,40000,9.469999999999999,952.65,46400,34.24
yes,debt_consolidation,no,40000,8.5,1092.29,100000,38.45
no,credit_card,no,8000,6.72,245.96,87000,13.44
no,home_improvement,no,4000,6.97,138.76,43000,4.13
yes,home_improvement,no,21700,11.25,785.17,45000,53.41
yes,medical,no,20000,19.25,519.15,28000,31.76
yes,medical,no,5000,15.25,180.92,36000,7.27
no,small_business,no,9000,6.72,281.87,45000,14.45
no,debt_consolidation,no,10000,8.719999999999999,320.05,115000,11.58
no,medical,no,16000,6.22,487.34,70000,48.23
no,debt_consolidation,no,20000,6.72,693.8,94000,16.66
yes,credit_card,no,30000,10.25,1106.07,58756,29.76
yes,credit_card,no,38000,16.5,1401.02,60000,31.18
no,small_business,yes,6000,4.72,203.85,62000,21.93
yes,debt_consolidation,no,10000,13,396.81,48300,33.89
yes,credit_card,no,20000,14.75,546.15,86845,17.37
no,home_improvement,no,32000,4.72,745.92,240000,9.49
yes,medical,no,35000,14,927.29,104660,29.41
yes,medical,no,7000,13,254.65,32000,37.06
no,medical,no,40000,16.5,798.67,350000,10.28
no,medical,yes,3100,4.97,103.87,37500,12.71
yes,small_business,no,21000,11.75,749.65,82000,26.5
no,credit_card,no,28000,5.47,593.96,150000,12.4
yes,credit_card,no,7000,9.5,265.35,80000,12.63
no,credit_card,no,24725,7.72,753.08,150000,21.92
yes,medical,no,13425,12,511.67,120000,40.7
no,small_business,yes,10000,5.97,243.24,114000,13.02
no,medical,yes,26000,9.969999999999999,578.1,111000,14.29
no,small_business,no,2000,4.72,62.64,25000,8.35
no,credit_card,no,12000,18.5,276.68,90000,14.89
no,small_business,no,4800,6.97,154.73,26000,1.15
no,debt_consolidation,no,35000,11.219999999999999,815.66,115000,14.86
no,small_business,no,36000,9.219999999999999,763.66,185000,22.62
no,credit_card,no,8000,5.72,268.09,65000,15.68
yes,debt_consolidation,no,11200,15,299.17,47611.2,20.09
no,small_business,no,18000,6.22,553.41,125000,6.42
no,home_improvement,no,8000,5.72,257.88,50000,80.75
no,small_business,yes,16500,7.72,502.49,150000,33.23
yes,debt_consolidation,no,12000,13.25,317.93,53000,16.42
no,debt_consolidation,no,40000,10.219999999999999,902.37,140000,9.89
no,debt_consolidation,no,35000,9.969999999999999,1230.85,61000,32.74
no,debt_consolidation,no,24000,8.969999999999999,804.27,125000,27.94
no,small_business,no,4000,5.97,120.45,40000,8.4
yes,medical,no,16000,10.75,427.39,66500,14.37
yes,medical,no,30150,14.25,1219.59,85000,53.25
yes,credit_card,no,11450,15.5,375.04,17000,34.39
yes,credit_card,no,12000,11.25,327.69,11000,8.95
no,small_business,yes,25000,9.969999999999999,582.62,73000,16.13
yes,medical,no,35000,9,1256.05,106000,29.4
no,small_business,no,8300,11.469999999999999,269.42,72000,28.04
no,debt_consolidation,no,6000,10.969999999999999,184.5,48000,7.38
no,credit_card,no,25000,7.47,768.74,72000,17.18
yes,credit_card,no,20975,11.5,758.93,30000,34.68
no,medical,no,3000,8.219999999999999,101.94,39900,5.89
no,credit_card,no,35000,10.719999999999999,1096.13,100000,26.61
no,home_improvement,no,11200,9.969999999999999,363.56,60000,28.02
no,small_business,no,10000,8.719999999999999,342.17,54000,9.78
yes,small_business,no,12000,13.75,358.01,106000,8.23
no,small_business,no,4800,11.219999999999999,146.2,115000,3.41
yes,credit_card,no,10000,19.25,254.27,68000,18.23
no,debt_consolidation,no,21000,9.969999999999999,686.52,108254.9,8.71
yes,medical,no,4800,18.5,171.35,55000,13.71
no,debt_consolidation,no,10000,10.219999999999999,326.97,52000,10.11
no,small_business,yes,20000,6.72,653.93,125000,25.07
no,small_business,no,24000,7.97,796.92,120000,13.03
no,home_improvement,no,24000,6.47,773.63,160000,8.74
no,debt_consolidation,no,1800,18,58.44,10000,0
yes,small_business,no,24000,19,896.71,58000,14.08
yes,credit_card,no,11500,13,294.85,57564,31.75
yes,credit_card,no,14000,19.25,373.96,117000,27.86
yes,credit_card,yes,26600,11.5,710.53,80000,21.36
no,debt_consolidation,no,16500,4.72,496.82,105000,17.33
no,debt_consolidation,no,5000,6.47,150.56,35000,10.67
no,small_business,no,18000,4.97,542.07,100000,7.85
no,credit_card,no,4500,8.469999999999999,140.96,70000,22.33
no,medical,yes,9600,6.22,321.71,72612,12.38
no,debt_consolidation,no,8000,5.22,250.55,78000,22.05
yes,debt_consolidation,no,14000,15.75,370.92,39600,14.64
yes,medical,yes,12000,12,327.69,26000,22.76
yes,credit_card,no,28000,18,747.92,58000,25.37
yes,credit_card,no,28000,20,1040.59,45000,13.71
yes,debt_consolidation,no,24000,10.75,757.72,105000,22.1
no,home_improvement,no,24000,11.219999999999999,509.11,110000,7.38
yes,credit_card,no,20000,15,519.15,64000,17.16
yes,small_business,no,6500,14.25,232.04,57000,9.07
yes,small_business,no,10500,8,280.47,70000,17.38
yes,credit_card,no,10000,7.75,273.08,58250,15.64
yes,credit_card,no,20000,12,498.02,69000,41.1
no,debt_consolidation,no,22000,10.219999999999999,669.99,33000,30.91
no,home_improvement,no,10000,12.5,301.15,36000,8.87
no,credit_card,no,20000,18,679.58,75696,18.2
yes,debt_consolidation,no,33750,13.5,1260.99,75000,9.92
no,small_business,no,10000,8.219999999999999,304.54,40000,22.38
yes,small_business,no,5300,14.75,194.36,33000,22.25
no,debt_consolidation,no,25000,6.97,867.25,48000,11.95
no,credit_card,no,19200,5.22,427,56400,1.98
yes,small_business,no,17100,13.75,490.75,30000,32.58
no,small_business,no,15000,7.22,461.18,102500,3.52
yes,credit_card,no,30000,14.75,877.73,65800,28.07
no,debt_consolidation,yes,20000,10.469999999999999,476.33,192000,13.19
no,debt_consolidation,no,13000,4.72,403.49,40000,14.93
yes,small_business,yes,36250,14.5,1336.5,45000,62.7
no,small_business,yes,11000,7.22,267.62,100000,15.1
yes,debt_consolidation,no,8000,15.25,294.95,33000,34.63
yes,medical,no,25000,17.5,717.46,8000,144.74
yes,medical,no,3500,16.5,128.35,29000,27.61
yes,credit_card,no,10000,19.25,368.69,69000,27.74
yes,credit_card,yes,18000,15,660.09,60000,23.38
no,debt_consolidation,no,4000,7.22,121.84,51000,14.85
yes,medical,no,28000,18.25,697.23,105000,17.68
no,small_business,no,8500,7.72,284.81,18000,25.33
yes,credit_card,no,20000,9.75,723.66,120000,21.8
yes,credit_card,no,35000,14,878.71,160000,6.59
no,credit_card,no,20000,7.47,609.17,85000,11.2
no,debt_consolidation,yes,30000,8.219999999999999,676.78,34800,5.52
yes,small_business,no,35000,13.5,908.5,150000,26.66
no,debt_consolidation,no,28000,6.97,587.1,57000,27.48
yes,debt_consolidation,yes,16000,7,418.76,80000,24.09
yes,credit_card,no,12000,14,298.82,53800,18.45
no,home_improvement,no,12000,9.719999999999999,257.46,120000,14.73
no,credit_card,no,4500,10.469999999999999,156.11,41000,25.7
no,medical,no,5500,10.719999999999999,177.27,70000,20.7
yes,medical,no,25000,15,752.96,65000,14.73
no,small_business,no,12000,6.97,392.36,230000,9.19
yes,credit_card,no,11500,16,316.64,45000,27.28
no,debt_consolidation,no,40000,8.219999999999999,889.58,120000,8.74
no,small_business,no,12000,11.219999999999999,384.01,90000,27.79
yes,small_business,no,22000,13,547.83,75000,26.21
no,debt_consolidation,no,5000,9.719999999999999,162.33,45000,7.01
yes,home_improvement,no,10000,19.75,361.83,50000,15.89
no,small_business,no,24500,15,519.71,71000,17.67
yes,medical,yes,21000,18.75,849.47,36000,33.96
no,small_business,no,23000,10.969999999999999,518.75,65000,35.91
no,debt_consolidation,no,8000,10.719999999999999,250.55,45000,11.97
yes,medical,no,4700,14.25,172.36,40000,11.4
yes,medical,no,5000,12.5,193.29,40000,14.67
yes,credit_card,yes,23000,7,628.07,65000,17.45
yes,credit_card,no,13200,18.25,378.82,80000,27.86
yes,credit_card,yes,1000,15.5,36.19,126000,9.96
yes,debt_consolidation,no,25000,6.75,789.3,55000,35.78
no,debt_consolidation,no,6000,8.719999999999999,194.79,44000,34
yes,small_business,no,20000,18.75,529.88,55000,25.49
no,small_business,no,6500,16,203.57,36000,19
no,small_business,yes,12500,7.22,387.97,106000,22.26
yes,credit_card,no,10000,8.75,391.65,90000,24.84
no,credit_card,yes,10000,8.719999999999999,335.12,155000,10.91
no,medical,no,6000,9.969999999999999,199.26,40000,12.54
no,debt_consolidation,no,21600,4.97,525.5,65000,16.06
yes,small_business,yes,21000,17.25,545.1,120000,11.13
no,small_business,no,13000,10.969999999999999,293.27,80000,15.5
no,home_improvement,no,10000,8.469999999999999,339.74,70000,26.62
yes,medical,no,30000,7.75,895.02,79000,29.17
no,small_business,yes,24000,9.969999999999999,744.9,88000,12.21
yes,medical,yes,30000,13,1114.91,93000,22.63
yes,medical,no,19200,15.25,498.38,49000,25.84
yes,credit_card,no,20000,10,502.12,80000,27.5
no,small_business,no,40000,8.469999999999999,798.67,107000,9.79
no,debt_consolidation,no,20000,9.469999999999999,451.19,50000,17.23
yes,medical,no,16825,10.5,612.07,35000,12.04
no,small_business,yes,5600,5.72,179.21,55000,20.55
no,debt_consolidation,no,38400,8.219999999999999,854,96800,0.25
no,small_business,no,10000,8.469999999999999,212.13,85000,4.44
no,debt_consolidation,no,5000,5.47,160.03,57000,27.03
yes,debt_consolidation,no,3000,17.75,111.5,28000,12.39
no,credit_card,no,25000,12,837.67,51921,31.53
yes,small_business,no,15000,8,384.59,75000,3.82
no,home_improvement,no,20000,9.469999999999999,703.34,85000,25.62
no,small_business,yes,16000,5.97,339.41,75000,11.2
no,medical,no,7500,14.5,260.18,40000,14.34
yes,medical,no,24000,18.75,868.39,165000,14.1
yes,medical,no,30000,11,1085.48,140000,21.85
yes,credit_card,no,35000,15.5,871.54,50000,18.67
no,small_business,no,12500,8.219999999999999,384.37,81000,3.23
no,medical,no,5000,11.219999999999999,155.17,37000,20.99
no,small_business,no,4200,6.97,137.31,55000,22.67
yes,medical,no,18000,8.5,495.61,56000,8.74
yes,small_business,no,19450,14.5,737.29,271000,20.72
yes,small_business,no,15000,16,455.98,50000,13.17
no,small_business,no,7000,11.469999999999999,219.23,72800,7.78
yes,home_improvement,no,3000,11,109.14,87500,5.6
yes,medical,no,10000,11.75,254.27,72000,2.2
no,small_business,no,2000,9.469999999999999,64.47,55000,10.91
no,small_business,no,15000,5.72,325.47,92000,19.73
yes,small_business,no,17000,20,435.87,90000,10.33
no,home_improvement,no,25000,10.969999999999999,536.36,115000,17.64
no,home_improvement,no,16000,9.719999999999999,536.11,110000,18.85
yes,debt_consolidation,no,24000,13,597.63,160000,17.34
no,credit_card,no,11500,5.97,353.62,140000,7.89
yes,medical,no,20000,15.25,546.15,90000,11.31
yes,small_business,no,35000,9,984.66,280000,13.27
no,debt_consolidation,no,29175,10.969999999999999,709.79,290000,19.34
yes,small_business,no,28000,13,1026.8,72000,18.45
yes,credit_card,yes,20000,12,550.68,50000,16.13
yes,medical,no,10000,18,273.08,83000,12.29
no,medical,no,14400,9.969999999999999,433.59,69000,24.12
no,debt_consolidation,no,28000,8.469999999999999,631.51,60000,32.04
no,small_business,no,15000,6.22,509.69,195000,3.77
no,credit_card,yes,7000,11.219999999999999,215.25,22362.75,1.88
no,small_business,no,18000,17.5,377.51,70000,11.98
no,credit_card,no,10000,7.47,346.85,110000,18.69
yes,medical,yes,30000,17,778.72,145000,11.18
yes,debt_consolidation,no,15000,11.25,492.61,70000,25.3
no,medical,no,35000,8.969999999999999,1189.26,121000,12.64
no,debt_consolidation,no,6000,5.97,192.03,130000,5.98
yes,credit_card,yes,12800,12.75,385.52,23000,32.62
yes,small_business,no,10000,17,366.72,71000,3.59
no,small_business,yes,6500,8.719999999999999,225.49,40000,29.67
no,credit_card,no,17000,9.219999999999999,323.31,53000,22.88
no,medical,no,10000,7.72,222.35,18624,20.49
yes,credit_card,no,20000,13.5,585.27,98000,23.6
yes,medical,no,13000,9.25,466.54,32000,12.72
yes,debt_consolidation,no,20000,18.75,803.9,112000,20.56
no,debt_consolidation,no,20000,6.72,602.3,200000,10.67
yes,debt_consolidation,no,23875,15.5,607.05,150000,38.43
no,small_business,no,32000,10.969999999999999,1024.01,50000,33.7
no,small_business,no,20000,9.969999999999999,461.03,140000,11.63
no,small_business,no,16800,11.469999999999999,408.73,135000,17.42
no,credit_card,no,5075,6.47,152.84,65000,12.98
no,credit_card,no,27200,10.969999999999999,613.61,103000,14.69
yes,medical,no,3000,12.25,108.55,65000,13.53
no,debt_consolidation,no,14000,5.97,421.55,52000,22.2
yes,credit_card,no,1500,12.75,53.84,63288,22.24
no,small_business,no,15000,9.219999999999999,490.45,45000,32.67
no,small_business,no,10000,9.469999999999999,304.59,65000,11.39
no,medical,no,40000,11.219999999999999,1406.48,45000,40.96
yes,small_business,yes,18000,8.75,663.64,85000,23.65
no,debt_consolidation,no,28000,7.72,957.93,80000,22.65
yes,medical,no,28000,8,999.54,150000,13.06
no,credit_card,no,4300,6.97,138.61,52000,17.93
yes,medical,no,10800,7.25,409.4,18500,34.39
no,debt_consolidation,no,12000,9.219999999999999,365.45,75000,5.82
no,credit_card,no,6000,5.72,182.73,40000,11.4
no,medical,no,10000,7.47,346.9,33000,27.72
no,debt_consolidation,no,6000,4.72,186.2,28000,19.76
no,debt_consolidation,no,14400,9.469999999999999,442.79,60000,55.25
yes,medical,no,35500,16,1345.69,54000,28.16
no,home_improvement,no,40000,7.97,798.67,148650,0.53
yes,debt_consolidation,no,7500,14.25,267.74,70000,3.82
yes,credit_card,yes,19000,15.25,493.19,50000,36.75
no,credit_card,no,8000,10.969999999999999,243.67,43000,11.81
no,small_business,no,20000,5.97,609.17,109000,17.68
no,credit_card,no,6500,8.719999999999999,212.53,36000,42.67
no,credit_card,no,25000,9.719999999999999,555.99,175000,6.42
no,home_improvement,no,10000,5.72,351.62,82000,9.88
no,debt_consolidation,yes,25000,5.72,805.86,150000,19.69
no,debt_consolidation,no,38400,6.97,766.73,195000,17.95
no,medical,no,32000,7.22,1046.28,102947,17.59
no,debt_consolidation,no,40000,6.97,1204.42,225000,20.53
no,home_improvement,no,40000,6.72,1229.97,145000,14.66
no,medical,no,14400,10.469999999999999,446.88,120000,8.17
yes,medical,no,24100,14.75,789.37,95000,35.95
yes,medical,no,35000,14.25,955.75,43000,19.15
yes,credit_card,no,27250,13.75,713.2,125000,34.89
no,debt_consolidation,no,35000,11.719999999999999,1136.11,90000,18.42
no,small_business,no,8650,8.719999999999999,295.98,56000,6.79
yes,credit_card,yes,20000,9,512.78,740000,3.41
no,debt_consolidation,no,12000,10.219999999999999,375.82,80000,15.51
yes,home_improvement,no,35000,8,1370.95,70000,21.12
yes,debt_consolidation,no,10000,16.75,249.01,25000,18.24
no,debt_consolidation,yes,40000,8.719999999999999,1298.59,180000,8.83
no,credit_card,no,12000,11.219999999999999,375.88,48000,13.29
no,home_improvement,no,30000,12.5,1054.86,82000,7.08
no,debt_consolidation,no,30000,7.22,636.24,70000,16.6
yes,medical,no,35000,12.75,1043.99,144000,22.37
no,debt_consolidation,no,40000,11.969999999999999,922.05,60000,15
yes,credit_card,no,11200,13,287.16,95000,16.79
no,debt_consolidation,no,5000,5.47,166.05,42000,26.09
no,medical,no,4000,5.72,140.67,24000,15.5
yes,home_improvement,no,3500,10.75,130.08,31000,6.25
no,debt_consolidation,no,2000,5.47,67.96,38000,11.5
no,debt_consolidation,no,16000,5.97,501.09,43000,0.7
no,credit_card,no,8000,8.469999999999999,240.92,80000,14.44
no,small_business,no,40000,9.469999999999999,838.71,220000,1.44
no,credit_card,no,35000,11.719999999999999,815.85,110000,32.1
no,small_business,no,40000,5.72,848.51,142500,10.26
no,home_improvement,no,7800,14.5,266.86,75000,23.49
yes,small_business,no,20000,14,596.57,60000,23.7
yes,small_business,no,10000,16.5,358.88,84362,24.82
no,debt_consolidation,no,15000,5.47,318.12,63000,17.35
no,small_business,no,16000,6.97,523.07,60000,18.46
no,debt_consolidation,no,3000,10.219999999999999,105.51,52000,16.29
yes,debt_consolidation,no,15200,12.5,564.89,55000,27.86
no,small_business,no,4000,7.47,128.02,32000,4.91
yes,debt_consolidation,no,16000,7,477.35,60000,20.16
yes,debt_consolidation,yes,4075,16.25,151.45,15000,20.48
yes,credit_card,no,5000,9.75,179.44,33800,16.66
